date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:42	2667/2667	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2019%20May%202024%2004:14:42%20GMT	http://localhost:6060/robots.txt		(from )
09:59:42	3852/3852	---MC-	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2004:14:42%20GMT	http://localhost:6060/pkg/Dekkoto/	F:/Documentation/Dekkoto_docs/localhost_6060/pkg/Dekkoto/index.html	(from )
09:59:42	14183/14183	---M--	200	added ('OK')	text/css	date:Sun,%2019%20May%202024%2004:14:42%20GMT	http://localhost:6060/lib/godoc/style.css	F:/Documentation/Dekkoto_docs/localhost_6060/lib/godoc/style.css	(from http://localhost:6060/pkg/Dekkoto/)
09:59:43	3671/3671	---MC-	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2004:14:43%20GMT	http://localhost:6060/pkg/Dekkoto/cmd/	F:/Documentation/Dekkoto_docs/localhost_6060/pkg/Dekkoto/cmd/index.html	(from http://localhost:6060/pkg/Dekkoto/)
09:59:43	2679/2679	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2019%20May%202024%2004:14:43%20GMT	http://localhost:6060/doc/share.png	F:/Documentation/Dekkoto_docs/localhost_6060/doc/share.3.delayed	(from http://localhost:6060/lib/godoc/style.css)
09:59:44	3489/3489	---MC-	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2004:14:43%20GMT	http://localhost:6060/pkg/Dekkoto/cmd/myapp/	F:/Documentation/Dekkoto_docs/localhost_6060/pkg/Dekkoto/cmd/myapp/index.html	(from http://localhost:6060/pkg/Dekkoto/)
09:59:46	19990/19990	---M--	200	added ('OK')	application/javascript	date:Sun,%2019%20May%202024%2004:14:43%20GMT	http://localhost:6060/lib/godoc/godocs.js	F:/Documentation/Dekkoto_docs/localhost_6060/lib/godoc/godocs.js	(from http://localhost:6060/pkg/Dekkoto/)
09:59:46	14375/14375	---MC-	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2004:14:44%20GMT	http://localhost:6060/pkg/Dekkoto/cmd/myapp/Main/	F:/Documentation/Dekkoto_docs/localhost_6060/pkg/Dekkoto/cmd/myapp/Main/index.html	(from http://localhost:6060/pkg/Dekkoto/)
09:59:46	15394/15394	---MC-	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2004:14:44%20GMT	http://localhost:6060/pkg/Dekkoto/cmd/myapp/handler/	F:/Documentation/Dekkoto_docs/localhost_6060/pkg/Dekkoto/cmd/myapp/handler/index.html	(from http://localhost:6060/pkg/Dekkoto/)
09:59:48	93435/93435	---M--	200	added ('OK')	application/javascript	date:Sun,%2019%20May%202024%2004:14:42%20GMT	http://localhost:6060/lib/godoc/jquery.js	F:/Documentation/Dekkoto_docs/localhost_6060/lib/godoc/jquery.js	(from http://localhost:6060/pkg/Dekkoto/)
